project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status
arrow,7507,review,562065051,architecture_debt,violation_of_modularity,apache,240,Closed
incubator-weex,1550,summary,0,non_debt,-,apache,76,Closed
fineract,1599,description,0,non_debt,-,apache,5,Merged
kafka,7848,description,0,non_debt,-,apache,123,Closed
openwhisk,4031,review,255882825,code_debt,low_quality_code,apache,148,Merged
openwhisk,638,summary,0,non_debt,-,apache,0,Closed
nutch,131,description,0,non_debt,-,apache,10,Merged
arrow,2314,comment,407287310,non_debt,-,apache,0,Closed
spark,11006,comment,178279347,code_debt,low_quality_code,apache,0,Closed
druid,9618,description,0,non_debt,-,apache,225,Closed
kafka,2303,comment,270284340,non_debt,-,apache,55,Closed
carbondata,2634,comment,412819112,non_debt,-,apache,0,Closed
skywalking,4443,comment,597527424,non_debt,-,apache,8,Closed
flink,15195,review,594017064,non_debt,-,apache,3,Merged
incubator-heron,2793,review,176873377,non_debt,-,apache,757,Closed
cloudstack,2464,comment,367304540,non_debt,-,apache,6,Merged
beam,13161,comment,726411143,non_debt,-,apache,22,Merged
camel-quarkus,1137,summary,0,non_debt,-,apache,0,Merged
arrow,9777,summary,0,non_debt,-,apache,0,Closed
spark,22007,comment,411514466,non_debt,-,apache,6,Closed
spark,11673,comment,196234027,non_debt,-,apache,239,Closed
incubator-pinot,6239,review,518946846,non_debt,-,apache,5,Merged
spark,20681,review,171910649,non_debt,-,apache,3,Closed
carbondata,4039,comment,745974586,non_debt,-,apache,13,Closed
beam,13411,description,0,non_debt,-,apache,8,Merged
arrow,9141,comment,756918737,non_debt,-,apache,0,Closed
ignite,1558,description,0,non_debt,-,apache,510,Closed
superset,3346,review,134524525,non_debt,-,apache,244,Closed
kafka,7881,summary,0,non_debt,-,apache,0,Closed
ignite,8686,review,586497377,non_debt,-,apache,52,Merged
cloudstack,3795,review,363682565,non_debt,-,apache,8,Merged
superset,3852,comment,344171641,non_debt,-,apache,3,Merged
zeppelin,80,comment,111033924,non_debt,-,apache,26,Closed
servicecomb-java-chassis,1761,summary,0,non_debt,-,apache,0,Merged
zookeeper,1417,comment,665952705,code_debt,low_quality_code,apache,5,Closed
pulsar,9481,comment,775964246,non_debt,-,apache,12,Closed
spark,2931,review,19454808,non_debt,-,apache,6,Closed
storm,237,review,24169370,non_debt,-,apache,186,Merged
spark,22960,review,231413853,code_debt,complex_code,apache,1,Closed
trafficserver,7142,review,488118370,non_debt,-,apache,35,Merged
flink,59,description,0,non_debt,-,apache,63,Closed
thrift,1039,comment,238129818,test_debt,flaky_test,apache,68,Closed
flink,12176,review,426165664,code_debt,complex_code,apache,2,Closed
ambari,2048,description,0,non_debt,-,apache,0,Merged
arrow,8371,comment,706095916,non_debt,-,apache,29,Closed
iceberg,1083,review,438894029,non_debt,-,apache,10,Merged
dubbo,4655,summary,0,code_debt,low_quality_code,apache,0,Merged
thrift,221,comment,57221845,non_debt,-,apache,9,Closed
shardingsphere,7753,summary,0,non_debt,-,apache,0,Merged
spark,16464,description,0,non_debt,-,apache,12,Closed
airflow,13616,comment,758630982,non_debt,-,apache,1,Closed
incubator-mxnet,14534,review,271872150,non_debt,-,apache,29,Merged
flink,5063,comment,347451529,non_debt,-,apache,3,Closed
openwhisk,2151,review,114561790,non_debt,-,apache,20,Merged
kafka,5498,comment,460004213,non_debt,-,apache,191,Merged
arrow,3816,summary,0,non_debt,-,apache,0,Closed
apisix,336,summary,0,code_debt,duplicated_code,apache,0,Merged
incubator-mxnet,5151,description,0,non_debt,-,apache,5,Merged
kafka,8701,review,429551798,non_debt,-,apache,5,Merged
apisix-dashboard,1571,comment,795057724,non_debt,-,apache,1,Merged
gobblin,2459,review,219005113,non_debt,-,apache,85,Closed
carbondata,2209,review,184917127,non_debt,-,apache,8,Closed
trafodion,1532,comment,383765758,non_debt,-,apache,65,Merged
flink,7186,comment,453921155,non_debt,-,apache,117,Closed
arrow,9785,review,604887936,non_debt,-,apache,19,Closed
reef,641,review,44857751,non_debt,-,apache,2,Closed
spark,25007,review,306928380,non_debt,-,apache,32,Closed
druid,4131,comment,292841747,non_debt,-,apache,27,Merged
druid,2698,review,57078970,non_debt,-,apache,0,Merged
cxf,275,summary,0,non_debt,-,apache,0,Closed
incubator-mxnet,2329,review,65903056,non_debt,-,apache,3,Merged
camel,508,summary,0,non_debt,-,apache,2,Closed
airflow,4381,comment,450809046,non_debt,-,apache,7,Closed
lucene-solr,823,comment,527765667,non_debt,-,apache,30,Merged
beam,12040,review,445090535,non_debt,-,apache,5,Merged
bookkeeper,1059,description,0,design_debt,non-optimal_design,apache,0,Closed
trafficserver,3322,review,176559777,architecture_debt,violation_of_modularity,apache,18,Merged
lucene-solr,1155,comment,595607002,non_debt,-,apache,54,Merged
airflow,2628,review,148506473,non_debt,-,apache,38,Merged
incubator-mxnet,10900,review,188720460,code_debt,complex_code,apache,13,Merged
geode,4161,comment,546551736,non_debt,-,apache,29,Merged
beam,13118,review,509433018,non_debt,-,apache,7,Merged
kafka,8000,review,374961789,non_debt,-,apache,20,Merged
spark,29367,review,466633630,non_debt,-,apache,6,Closed
cloudstack,2793,comment,440772450,non_debt,-,apache,116,Merged
hadoop,1823,summary,0,non_debt,-,apache,34,Merged
airflow,14581,comment,790768377,non_debt,-,apache,2,Merged
incubator-mxnet,7772,review,137280575,non_debt,-,apache,97,Closed
beam,3113,comment,301301323,non_debt,-,apache,0,Closed
spark,29136,description,0,non_debt,-,apache,0,Closed
spark,28708,review,440410753,non_debt,-,apache,47,Closed
kafka,4691,description,0,code_debt,low_quality_code,apache,6,Merged
incubator-doris,1694,comment,524725582,non_debt,-,apache,3,Merged
nifi,1036,review,81411506,code_debt,low_quality_code,apache,20,Closed
accumulo,1182,comment,499659659,non_debt,-,apache,0,Merged
flink,979,review,36167357,non_debt,-,apache,29,Closed
kafka,8662,comment,628329507,non_debt,-,apache,1,Merged
cloudstack,2464,comment,368872305,non_debt,-,apache,6,Merged
beam,14300,comment,804418896,non_debt,-,apache,0,Merged
spark,30521,review,532273012,non_debt,-,apache,6,Closed
