project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status,commits_count,comments_count,labels
iceberg,1772,comment,728256911,non_debt,-,apache,2.0,Merged,1,3,spark
fineract,709,comment,583203509,non_debt,-,apache,2.0,Closed,1,0,
carbondata,2691,comment,418741401,non_debt,-,apache,34.0,Closed,1,2,
beam,1974,review,100887469,code_debt,low_quality_code,apache,6.0,Closed,6,8,
geode,112,review,55901760,non_debt,-,apache,6.0,Closed,6,12,
spark,8760,review,45791721,non_debt,-,apache,313.0,Closed,3,30,
carbondata,2826,comment,432122362,non_debt,-,apache,9.0,Closed,1,4,
spark,3649,comment,66556800,non_debt,-,apache,29.0,Closed,18,0,
pulsar,5491,comment,552050267,non_debt,-,apache,14.0,Merged,15,30,component/client
spark,20020,comment,353035963,non_debt,-,apache,9.0,Closed,9,22,
incubator-mxnet,11047,comment,438531615,non_debt,-,apache,176.0,Merged,18,9,pr-awaiting-review
nifi-minifi-cpp,926,review,508700255,non_debt,-,apache,7.0,Closed,6,27,
flink,8446,review,285160885,build_debt,under-declared_dependencies,apache,12.0,Merged,7,30,"review=description?, component=Runtime/Coordination"
hudi,1469,comment,634970887,non_debt,-,apache,312.0,Closed,1,30,pr:wip
incubator-mxnet,15270,summary,0,non_debt,-,apache,30.0,Merged,1,0,"Build, pr-awaiting-review"
spark,23266,review,240395676,non_debt,-,apache,4.0,Closed,2,29,
flink,2363,comment,240791329,design_debt,non-optimal_design,apache,34.0,Closed,4,30,"component=Runtime/WebFrontend, component=Runtime/Metrics"
spark,29795,review,493190061,code_debt,low_quality_code,apache,18.0,Closed,18,30,SQL
druid,3958,summary,0,non_debt,-,apache,0.0,Merged,1,0,Bug
trafficcontrol,5681,summary,0,non_debt,-,apache,1.0,Merged,17,20,"Traffic Ops, cdn-in-a-box, install, improvement, automation, dependencies"
tinkerpop,144,summary,0,code_debt,slow_algorithm,apache,1.0,Merged,8,0,
beam,2143,comment,283739463,non_debt,-,apache,1.0,Closed,1,0,
flink,14084,review,554882968,requirement_debt,requirement_partially_implemented,apache,,Not Closed or Merged,3,9,"review=description?, component=TableSQL/API"
kafka,1549,summary,0,non_debt,-,apache,3.0,Closed,2,0,
spark,31905,comment,811106021,requirement_debt,non-functional_requirements_not_fully_satisfied,apache,121.0,Closed,19,30,SQL
incubator-brooklyn,763,review,35646804,non_debt,-,apache,9.0,Merged,3,15,
accumulo,332,comment,368365644,design_debt,non-optimal_design,apache,81.0,Merged,10,30,
spark,20938,comment,383849805,non_debt,-,apache,26.0,Closed,20,27,
incubator-brooklyn,174,review,17779614,non_debt,-,apache,1.0,Merged,1,4,
druid,8287,review,314501737,non_debt,-,apache,9.0,Merged,5,18,"Area - Batch Ingestion, Improvement, Area - Streaming Ingestion"
trafficcontrol,2952,review,227523969,non_debt,-,apache,1.0,Merged,1,2,"new feature, Traffic Ops"
incubator-dolphinscheduler,4250,comment,746145200,non_debt,-,apache,1.0,Merged,11,0,
superset,650,review,67918604,non_debt,-,apache,3.0,Merged,4,25,
drill,1862,review,333560129,non_debt,-,apache,20.0,Merged,1,30,
cloudstack,1705,summary,0,code_debt,low_quality_code,apache,22.0,Merged,1,0,
rocketmq,376,comment,406472654,non_debt,-,apache,3.0,Merged,2,0,
flink,4932,summary,0,non_debt,-,apache,471.0,Closed,5,0,component=Runtime/Metrics
spark,15266,comment,254403378,non_debt,-,apache,28.0,Closed,2,8,
spark,18567,comment,313762412,test_debt,low_coverage,apache,0.0,Closed,6,14,
incubator-pagespeed-ngx,639,comment,37984712,non_debt,-,apache,1.0,Merged,2,0,
flink,12917,review,462827759,non_debt,-,apache,26.0,Merged,7,30,"review=description?, component=Runtime/Coordination, component=Tests"
incubator-pinot,5769,review,467200428,design_debt,non-optimal_design,apache,12.0,Merged,13,25,
phoenix,244,summary,0,non_debt,-,apache,2279.0,Closed,1,0,
dubbo,2217,comment,412890407,non_debt,-,apache,1.0,Merged,1,6,
drill,640,summary,0,non_debt,-,apache,0.0,Closed,1,0,
pulsar,9443,comment,774180857,non_debt,-,apache,3.0,Merged,4,7,flaky-tests
tvm,4280,review,349316135,non_debt,-,apache,14.0,Merged,23,10,status: accepted
spark,1338,review,15431198,non_debt,-,apache,21.0,Closed,9,20,
nifi,2516,summary,0,non_debt,-,apache,0.0,Closed,2,0,
airflow,15174,review,606788324,non_debt,-,apache,3.0,Merged,1,9,okay to merge
incubator-brooklyn,227,comment,58339657,non_debt,-,apache,0.0,Merged,1,0,
thrift,1468,review,161387735,non_debt,-,apache,10.0,Closed,1,15,
spark,27226,comment,574962770,non_debt,-,apache,0.0,Closed,6,11,SQL
incubator-dolphinscheduler,3729,summary,0,non_debt,-,apache,0.0,Closed,1,0,
arrow,7465,comment,645152229,non_debt,-,apache,0.0,Closed,1,0,
spark,14078,comment,231427333,non_debt,-,apache,2.0,Closed,4,0,
shardingsphere,6757,summary,0,non_debt,-,apache,0.0,Merged,1,0,"type: enhancement, in: metadata"
spark,4906,comment,84196807,non_debt,-,apache,15.0,Closed,5,28,
hawq,1321,summary,0,code_debt,slow_algorithm,apache,23.0,Closed,1,2,
spark,23260,comment,455328233,non_debt,-,apache,53.0,Closed,28,30,
kylin,1534,comment,753489521,non_debt,-,apache,1.0,Closed,18,0,
jena,395,comment,380796885,non_debt,-,apache,9.0,Closed,2,2,
attic-apex-malhar,618,review,116693824,non_debt,-,apache,11.0,Merged,1,30,
spark,13047,comment,218411251,non_debt,-,apache,0.0,Closed,5,2,
arrow,6863,review,404923143,non_debt,-,apache,0.0,Closed,6,14,
spark,20047,comment,353410377,non_debt,-,apache,0.0,Closed,3,0,
gobblin,339,review,41068350,non_debt,-,apache,13.0,Merged,28,30,
phoenix,677,review,366069653,non_debt,-,apache,6.0,Closed,2,9,
spark,1337,comment,48673768,non_debt,-,apache,8.0,Closed,2,3,
zeppelin,827,review,61180039,non_debt,-,apache,42.0,Closed,30,30,
lucene-solr,1749,summary,0,non_debt,-,apache,0.0,Merged,1,0,
kafka,5519,comment,414969484,non_debt,-,apache,193.0,Closed,1,0,
tvm,2969,review,272690624,non_debt,-,apache,2.0,Merged,5,12,status: accepted
arrow,6836,review,404507509,non_debt,-,apache,5.0,Closed,19,18,
drill,1953,review,379551973,documentation_debt,low_quality_documentation,apache,22.0,Merged,3,30,documentation
orc,570,review,528911518,code_debt,low_quality_code,apache,4.0,Merged,1,5,
spark,25006,comment,532946412,non_debt,-,apache,81.0,Closed,4,2,SQL
spark,12969,review,62413154,non_debt,-,apache,7.0,Closed,3,7,
spark,2841,comment,59612787,non_debt,-,apache,12.0,Closed,10,19,
zeppelin,332,summary,0,non_debt,-,apache,0.0,Closed,1,0,
bookkeeper,2503,comment,737383375,non_debt,-,apache,2.0,Merged,5,0,"area/build, type/improvement, release/4.13.0"
calcite,2286,review,534475582,code_debt,duplicated_code,apache,645.0,Closed,1,4,discussion-in-jira
hadoop,574,comment,471147658,non_debt,-,apache,5.0,Closed,11,12,ozone
tvm,6536,review,493576190,non_debt,-,apache,0.0,Merged,1,3,status: accepted
spark,25782,comment,531643617,non_debt,-,apache,3.0,Closed,8,15,SQL
incubator-heron,1629,review,97181411,non_debt,-,apache,32.0,Merged,30,30,new feature
spark,7643,review,36024377,non_debt,-,apache,8.0,Closed,1,23,
airflow,1831,review,87747258,non_debt,-,apache,34.0,Closed,1,4,
trafficcontrol,4447,review,384053483,non_debt,-,apache,20.0,Merged,9,6,"Traffic Ops, documentation, tech debt"
trafficcontrol,4718,review,430736160,non_debt,-,apache,0.0,Merged,4,13,"Traffic Ops, regression bug"
spark,1151,comment,47764564,non_debt,-,apache,14.0,Closed,30,21,
beam,6623,comment,428383967,non_debt,-,apache,0.0,Merged,1,0,
ozone,1489,review,513169793,non_debt,-,apache,42.0,Merged,4,19,
druid,466,comment,41075002,non_debt,-,apache,15.0,Merged,1,0,Bug
kafka,5860,review,230097399,non_debt,-,apache,29.0,Closed,1,30,connect
openwhisk,3449,comment,373702523,code_debt,low_quality_code,apache,3.0,Merged,2,7,review
spark,22754,review,227392626,non_debt,-,apache,18.0,Closed,1,15,
spark,15971,review,89209660,code_debt,complex_code,apache,6.0,Closed,8,30,
spark,23559,review,249274532,non_debt,-,apache,10.0,Closed,28,30,
