project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status
iceberg,1772,comment,728256911,non_debt,-,apache,2.0,Merged
fineract,709,comment,583203509,non_debt,-,apache,2.0,Closed
carbondata,2691,comment,418741401,non_debt,-,apache,34.0,Closed
beam,1974,review,100887469,code_debt,low_quality_code,apache,6.0,Closed
geode,112,review,55901760,non_debt,-,apache,6.0,Closed
spark,8760,review,45791721,non_debt,-,apache,313.0,Closed
carbondata,2826,comment,432122362,non_debt,-,apache,9.0,Closed
spark,3649,comment,66556800,non_debt,-,apache,29.0,Closed
pulsar,5491,comment,552050267,non_debt,-,apache,14.0,Merged
spark,20020,comment,353035963,non_debt,-,apache,9.0,Closed
incubator-mxnet,11047,comment,438531615,non_debt,-,apache,176.0,Merged
nifi-minifi-cpp,926,review,508700255,non_debt,-,apache,7.0,Closed
flink,8446,review,285160885,build_debt,under-declared_dependencies,apache,12.0,Merged
hudi,1469,comment,634970887,non_debt,-,apache,312.0,Closed
incubator-mxnet,15270,summary,0,non_debt,-,apache,30.0,Merged
spark,23266,review,240395676,non_debt,-,apache,4.0,Closed
flink,2363,comment,240791329,design_debt,non-optimal_design,apache,34.0,Closed
spark,29795,review,493190061,code_debt,low_quality_code,apache,18.0,Closed
druid,3958,summary,0,non_debt,-,apache,0.0,Merged
trafficcontrol,5681,summary,0,non_debt,-,apache,1.0,Merged
tinkerpop,144,summary,0,code_debt,slow_algorithm,apache,1.0,Merged
beam,2143,comment,283739463,non_debt,-,apache,1.0,Closed
flink,14084,review,554882968,requirement_debt,requirement_partially_implemented,apache,,Not Closed or Merged
kafka,1549,summary,0,non_debt,-,apache,3.0,Closed
spark,31905,comment,811106021,requirement_debt,non-functional_requirements_not_fully_satisfied,apache,121.0,Closed
incubator-brooklyn,763,review,35646804,non_debt,-,apache,9.0,Merged
accumulo,332,comment,368365644,design_debt,non-optimal_design,apache,81.0,Merged
spark,20938,comment,383849805,non_debt,-,apache,26.0,Closed
incubator-brooklyn,174,review,17779614,non_debt,-,apache,1.0,Merged
druid,8287,review,314501737,non_debt,-,apache,9.0,Merged
trafficcontrol,2952,review,227523969,non_debt,-,apache,1.0,Merged
incubator-dolphinscheduler,4250,comment,746145200,non_debt,-,apache,1.0,Merged
superset,650,review,67918604,non_debt,-,apache,3.0,Merged
drill,1862,review,333560129,non_debt,-,apache,20.0,Merged
cloudstack,1705,summary,0,code_debt,low_quality_code,apache,22.0,Merged
rocketmq,376,comment,406472654,non_debt,-,apache,3.0,Merged
flink,4932,summary,0,non_debt,-,apache,471.0,Closed
spark,15266,comment,254403378,non_debt,-,apache,28.0,Closed
spark,18567,comment,313762412,test_debt,low_coverage,apache,0.0,Closed
incubator-pagespeed-ngx,639,comment,37984712,non_debt,-,apache,1.0,Merged
flink,12917,review,462827759,non_debt,-,apache,26.0,Merged
incubator-pinot,5769,review,467200428,design_debt,non-optimal_design,apache,12.0,Merged
phoenix,244,summary,0,non_debt,-,apache,2279.0,Closed
dubbo,2217,comment,412890407,non_debt,-,apache,1.0,Merged
drill,640,summary,0,non_debt,-,apache,0.0,Closed
pulsar,9443,comment,774180857,non_debt,-,apache,3.0,Merged
tvm,4280,review,349316135,non_debt,-,apache,14.0,Merged
spark,1338,review,15431198,non_debt,-,apache,21.0,Closed
nifi,2516,summary,0,non_debt,-,apache,0.0,Closed
airflow,15174,review,606788324,non_debt,-,apache,3.0,Merged
spark,28911,comment,661130435,non_debt,-,apache,71.0,Closed
hadoop,2698,review,581200607,non_debt,-,apache,19.0,Closed
hbase,2459,comment,700412617,non_debt,-,apache,26.0,Closed
storm,1662,comment,243796241,non_debt,-,apache,1.0,Merged
spark,31052,review,553663753,non_debt,-,apache,12.0,Closed
thrift,1309,review,127775849,non_debt,-,apache,5.0,Closed
beam,13137,review,522334301,code_debt,low_quality_code,apache,41.0,Merged
druid,586,review,13470857,non_debt,-,apache,0.0,Merged
ignite,5484,review,235874251,non_debt,-,apache,11.0,Closed
flink,14138,comment,730796662,non_debt,-,apache,0.0,Merged
