project,pull_number,pull_type,id,classification,indicator,repo_owner,pr_duration_days,pr_status
beam,11461,comment,619290741,non_debt,-,apache,9,Merged
incubator-pinot,6216,comment,743425065,non_debt,-,apache,57,Merged
spark,14079,review,88088492,non_debt,-,apache,161,Closed
spark,29992,review,504358081,code_debt,low_quality_code,apache,1,Closed
kafka,9001,review,462716040,architecture_debt,violation_of_modularity,apache,90,Merged
arrow,8648,review,567582052,documentation_debt,outdated_documentation,apache,158,Closed
dubbo,4220,description,0,non_debt,-,apache,2,Merged
madlib,230,review,165737045,non_debt,-,apache,9,Closed
flink,13571,description,0,design_debt,non-optimal_design,apache,2,Closed
incubator-brooklyn,531,comment,78172489,non_debt,-,apache,15,Merged
cloudstack,1960,comment,315767628,non_debt,-,apache,189,Merged
storm,2911,review,283128941,code_debt,low_quality_code,apache,179,Merged
beam,4956,review,179756458,non_debt,-,apache,14,Merged
samza,230,review,124421458,design_debt,non-optimal_design,apache,6,Closed
incubator-pinot,5991,review,486580153,non_debt,-,apache,1,Merged
incubator-pinot,4903,comment,563546851,non_debt,-,apache,0,Merged
spark,27625,comment,588562924,non_debt,-,apache,2,Closed
nifi,1886,description,0,non_debt,-,apache,199,Closed
iceberg,2118,review,561101471,non_debt,-,apache,0,Merged
beam,10269,comment,562022105,non_debt,-,apache,7,Merged
trafficserver,4338,comment,428848993,non_debt,-,apache,20,Merged
samza,702,review,224265787,non_debt,-,apache,2,Closed
brooklyn-server,258,review,70850684,non_debt,-,apache,13,Merged
carbondata,3875,review,491976179,non_debt,-,apache,88,Closed
trafficcontrol,1896,comment,367375760,non_debt,-,apache,5,Merged
kafka,5881,comment,437621853,non_debt,-,apache,58,Merged
spark,16439,summary,0,non_debt,-,apache,9,Closed
spark,19712,review,150160911,non_debt,-,apache,0,Closed
carbondata,2410,comment,402372940,non_debt,-,apache,8,Closed
storm,259,summary,0,non_debt,-,apache,4,Merged
incubator-pinot,596,comment,249335065,non_debt,-,apache,0,Merged
beam,1369,review,97186486,non_debt,-,apache,119,Closed
kafka,6521,review,273258127,code_debt,low_quality_code,apache,12,Merged
spark,1313,comment,49744305,non_debt,-,apache,30,Closed
skywalking,5760,review,515447889,non_debt,-,apache,7,Merged
cloudstack,2211,comment,353476171,non_debt,-,apache,148,Merged
tinkerpop,572,review,106551449,non_debt,-,apache,8,Closed
dubbo,2053,summary,0,non_debt,-,apache,2,Merged
drill,1298,review,202718440,non_debt,-,apache,62,Closed
beam,1841,review,98267841,non_debt,-,apache,20,Closed
flink,12206,review,426342495,non_debt,-,apache,0,Merged
druid,1503,description,0,non_debt,-,apache,1,Merged
dubbo,2520,summary,0,documentation_debt,low_quality_documentation,apache,0,Merged
geode,2794,review,231716097,non_debt,-,apache,1,Merged
camel-quarkus,1526,comment,672675824,test_debt,low_coverage,apache,0,Merged
geode,3650,review,291302823,non_debt,-,apache,13,Merged
incubator-pinot,2922,comment,400827365,non_debt,-,apache,118,Merged
kafka,1537,comment,227613567,non_debt,-,apache,8,Closed
brooklyn-server,53,comment,197925605,non_debt,-,apache,18,Merged
spark,22888,comment,434208856,non_debt,-,apache,0,Closed
activemq-artemis,31,comment,112568121,non_debt,-,apache,0,Closed
carbondata,3352,comment,520113028,non_debt,-,apache,3,Closed
apisix-dashboard,979,review,543388564,code_debt,low_quality_code,apache,11,Merged
pulsar,7798,summary,0,non_debt,-,apache,13,Merged
tinkerpop,1125,comment,500026710,non_debt,-,apache,3,Merged
usergrid,180,summary,0,code_debt,duplicated_code,apache,38,Closed
incubator-doris,3025,review,515603245,non_debt,-,apache,258,Closed
flink,3049,comment,271823497,non_debt,-,apache,27,Closed
jena,894,review,550824479,non_debt,-,apache,1,Merged
tinkerpop,1114,description,0,non_debt,-,apache,5,Merged
nifi,4824,review,576641177,code_debt,low_quality_code,apache,52,Closed
iceberg,933,review,411434730,code_debt,low_quality_code,apache,97,Closed
cloudstack,763,comment,136279211,non_debt,-,apache,0,Merged
accumulo,1651,comment,733152771,non_debt,-,apache,231,Closed
lucene-solr,892,summary,0,non_debt,-,apache,931,Closed
carbondata,1464,review,149005119,non_debt,-,apache,10,Closed
spark,15064,comment,247511475,non_debt,-,apache,20,Closed
spark,27165,comment,572924850,documentation_debt,low_quality_documentation,apache,11,Closed
trafficserver,763,comment,231514250,non_debt,-,apache,10,Closed
netbeans,2165,review,435792471,non_debt,-,apache,4,Merged
ozone,1010,summary,0,non_debt,-,apache,6,Merged
pulsar,1646,description,0,non_debt,-,apache,0,Merged
flink,10667,comment,568953276,non_debt,-,apache,2,Closed
drill,996,review,146815141,code_debt,low_quality_code,apache,37,Closed
fineract,888,summary,0,non_debt,-,apache,1,Merged
arrow,73,review,62449714,non_debt,-,apache,2,Closed
spark,18317,review,131493469,non_debt,-,apache,94,Closed
calcite,688,comment,410285418,non_debt,-,apache,18,Closed
trafficserver,1002,summary,0,non_debt,-,apache,3,Merged
carbondata,2141,comment,379563248,non_debt,-,apache,10,Closed
shardingsphere,6041,summary,0,non_debt,-,apache,0,Merged
airflow,14492,review,584304954,non_debt,-,apache,7,Merged
camel,1100,review,73126080,non_debt,-,apache,0,Closed
spark,13967,comment,229733872,code_debt,complex_code,apache,4,Closed
beam,9731,summary,0,non_debt,-,apache,5,Merged
airflow,4390,comment,450291500,non_debt,-,apache,14,Merged
dubbo,1741,description,0,non_debt,-,apache,9,Merged
spark,26461,comment,552643459,non_debt,-,apache,11,Closed
spark,31059,comment,756507187,non_debt,-,apache,54,Closed
geode,1697,review,178663133,non_debt,-,apache,21,Closed
superset,11778,summary,0,non_debt,-,apache,7,Merged
trafodion,604,comment,234079094,code_debt,low_quality_code,apache,6,Merged
kafka,1206,comment,207585048,non_debt,-,apache,5,Closed
spark,18,comment,36728453,non_debt,-,apache,48,Closed
spark,20433,comment,374113076,non_debt,-,apache,407,Closed
flink,6676,review,216376586,non_debt,-,apache,10,Closed
pulsar,557,comment,314549416,non_debt,-,apache,3,Merged
flink,5663,comment,371969548,build_debt,over-declared_dependencies,apache,7,Closed
kafka,4001,comment,333581688,code_debt,low_quality_code,apache,2,Closed
incubator-heron,600,summary,0,non_debt,-,apache,0,Merged
